time,n,dt,threshold
36.6,1,0.3,2.6
36.9,3,0.3,2.6
37.2,0,0.3,2.6
37.5,2,0.3,2.6
37.8,1,0.3,2.6
38.1,0,0.3,2.6
38.4,2,0.3,2.6
38.7,0,0.3,2.6
39,0,0.3,2.6
39.3,3,0.3,2.6
39.6,0,0.3,2.6
39.9,0,0.3,2.6
40.2,0,0.3,2.6
40.5,1,0.3,2.6
40.8,2,0.3,2.6
41.1,0,0.3,2.6
41.4,2,0.3,2.6
41.7,2,0.3,2.6
42,2,0.3,2.6
42.3,1,0.3,2.6
42.6,1,0.3,2.6
42.9,2,0.3,2.6
43.2,0,0.3,2.6
43.5,0,0.3,2.6
43.8,0,0.3,2.6
44.1,2,0.3,2.6
44.4,2,0.3,2.6
44.7,1,0.3,2.6
45,2,0.3,2.6
45.3,0,0.3,2.6
45.6,0,0.3,2.6
45.9,0,0.3,2.6
46.2,1,0.3,2.6
46.5,3,0.3,2.6
46.8,2,0.3,2.6
47.1,1,0.3,2.6
47.4,1,0.3,2.6
47.7,0,0.3,2.6
48,2,0.3,2.6
48.3,1,0.3,2.6
48.6,1,0.3,2.6
48.9,2,0.3,2.6
49.2,2,0.3,2.6
49.5,1,0.3,2.6
49.8,1,0.3,2.6
50.1,1,0.3,2.6
50.4,1,0.3,2.6
50.7,1,0.3,2.6
51,0,0.3,2.6
51.3,0,0.3,2.6
51.6,3,0.3,2.6
51.9,0,0.3,2.6
52.2,0,0.3,2.6
52.5,1,0.3,2.6
52.8,1,0.3,2.6
53.1,4,0.3,2.6
53.4,1,0.3,2.6
53.7,2,0.3,2.6
54,1,0.3,2.6
54.3,1,0.3,2.6
54.6,3,0.3,2.6
54.9,0,0.3,2.6
55.2,1,0.3,2.6
55.5,0,0.3,2.6
55.8,3,0.3,2.6
56.1,0,0.3,2.6
56.4,1,0.3,2.6
56.7,2,0.3,2.6
57,2,0.3,2.6
57.3,1,0.3,2.6
57.6,1,0.3,2.6
57.9,0,0.3,2.6
58.2,1,0.3,2.6
58.5,2,0.3,2.6
58.8,1,0.3,2.6
59.1,2,0.3,2.6
59.4,0,0.3,2.6
59.7,1,0.3,2.6
60,1,0.3,2.6
0.3,42,0.3,2.4
0.6,48,0.3,2.4
0.9,33,0.3,2.4
1.2,43,0.3,2.4
1.5,37,0.3,2.4
1.8,44,0.3,2.4
2.1,40,0.3,2.4
2.4,48,0.3,2.4
2.7,53,0.3,2.4
3,41,0.3,2.4
3.3,39,0.3,2.4
3.6,42,0.3,2.4
3.9,47,0.3,2.4
4.2,44,0.3,2.4
4.5,44,0.3,2.4
4.8,44,0.3,2.4
5.1,47,0.3,2.4
5.4,39,0.3,2.4
5.7,37,0.3,2.4
6,48,0.3,2.4
6.3,42,0.3,2.4
6.6,42,0.3,2.4
6.9,57,0.3,2.4
7.2,46,0.3,2.4
7.5,47,0.3,2.4
7.8,50,0.3,2.4
8.1,32,0.3,2.4
8.4,32,0.3,2.4
8.7,50,0.3,2.4
9,37,0.3,2.4
9.3,51,0.3,2.4
9.6,44,0.3,2.4
9.9,48,0.3,2.4
10.2,36,0.3,2.4
10.5,49,0.3,2.4
10.8,39,0.3,2.4
11.1,37,0.3,2.4
11.4,43,0.3,2.4
11.7,34,0.3,2.4
12,35,0.3,2.4
12.3,39,0.3,2.4
12.6,48,0.3,2.4
12.9,46,0.3,2.4
13.2,41,0.3,2.4
13.5,51,0.3,2.4
13.8,38,0.3,2.4
14.1,56,0.3,2.4
14.4,53,0.3,2.4
14.7,45,0.3,2.4
15,47,0.3,2.4
15.3,43,0.3,2.4
15.6,50,0.3,2.4
15.9,56,0.3,2.4
16.2,46,0.3,2.4
16.5,39,0.3,2.4
16.8,55,0.3,2.4
17.1,48,0.3,2.4
17.4,50,0.3,2.4
17.7,55,0.3,2.4
18,45,0.3,2.4
18.3,51,0.3,2.4
18.6,50,0.3,2.4
18.9,55,0.3,2.4
19.2,56,0.3,2.4
19.5,31,0.3,2.4
19.8,56,0.3,2.4
20.1,48,0.3,2.4
20.4,31,0.3,2.4
20.7,45,0.3,2.4
21,52,0.3,2.4
21.3,46,0.3,2.4
21.6,48,0.3,2.4
21.9,50,0.3,2.4
22.2,31,0.3,2.4
22.5,40,0.3,2.4
22.8,46,0.3,2.4
23.1,43,0.3,2.4
23.4,47,0.3,2.4
23.7,47,0.3,2.4
24,45,0.3,2.4
24.3,46,0.3,2.4
24.6,42,0.3,2.4
24.9,39,0.3,2.4
25.2,38,0.3,2.4
25.5,47,0.3,2.4
25.8,50,0.3,2.4
26.1,45,0.3,2.4
26.4,48,0.3,2.4
26.7,47,0.3,2.4
27,31,0.3,2.4
27.3,47,0.3,2.4
27.6,56,0.3,2.4
27.9,50,0.3,2.4
28.2,44,0.3,2.4
28.5,50,0.3,2.4
28.8,59,0.3,2.4
29.1,61,0.3,2.4
29.4,42,0.3,2.4
29.7,48,0.3,2.4
30,38,0.3,2.4
30.3,45,0.3,2.4
30.6,51,0.3,2.4
30.9,42,0.3,2.4
31.2,57,0.3,2.4
31.5,45,0.3,2.4
31.8,50,0.3,2.4
32.1,49,0.3,2.4
32.4,55,0.3,2.4
32.7,46,0.3,2.4
33,47,0.3,2.4
33.3,36,0.3,2.4
33.6,50,0.3,2.4
33.9,47,0.3,2.4
34.2,41,0.3,2.4
34.5,53,0.3,2.4
34.8,37,0.3,2.4
35.1,41,0.3,2.4
35.4,36,0.3,2.4
35.7,47,0.3,2.4
36,56,0.3,2.4
36.3,33,0.3,2.4
36.6,50,0.3,2.4
36.9,59,0.3,2.4
37.2,45,0.3,2.4
37.5,35,0.3,2.4
37.8,56,0.3,2.4
38.1,38,0.3,2.4
38.4,45,0.3,2.4
38.7,44,0.3,2.4
39,51,0.3,2.4
39.3,43,0.3,2.4
39.6,48,0.3,2.4
39.9,66,0.3,2.4
40.2,37,0.3,2.4
40.5,47,0.3,2.4
40.8,50,0.3,2.4
41.1,37,0.3,2.4
41.4,48,0.3,2.4
41.7,39,0.3,2.4
42,45,0.3,2.4
42.3,36,0.3,2.4
42.6,51,0.3,2.4
42.9,39,0.3,2.4
43.2,54,0.3,2.4
43.5,55,0.3,2.4
43.8,47,0.3,2.4
44.1,41,0.3,2.4
44.4,36,0.3,2.4
44.7,51,0.3,2.4
45,44,0.3,2.4
45.3,35,0.3,2.4
45.6,54,0.3,2.4
45.9,43,0.3,2.4
46.2,48,0.3,2.4
46.5,57,0.3,2.4
46.8,45,0.3,2.4
47.1,46,0.3,2.4
47.4,38,0.3,2.4
47.7,45,0.3,2.4
48,47,0.3,2.4
48.3,35,0.3,2.4
48.6,43,0.3,2.4
48.9,64,0.3,2.4
49.2,37,0.3,2.4
49.5,53,0.3,2.4
49.8,49,0.3,2.4
50.1,60,0.3,2.4
50.4,48,0.3,2.4
50.7,54,0.3,2.4
51,40,0.3,2.4
